Gene ID,Gene name,P-value (D5 vs Control),FDR step up (D5 vs Control),Ratio (D5 vs Control),Fold change (D5 vs Control),LSMean(D5) (D5 vs Control),LSMean(Control) (D5 vs Control)
Olfr1222,Olfr1222,4.06E-01,?,3.26E-01,-3.07E+00,1.72E+00,5.28E+00
Olfr1223,Olfr1223,6.87E-01,?,4.94E-01,-2.03E+00,1.21E+00,2.46E+00
Olfr1226,Olfr1226,9.19E-01,?,8.82E-01,-1.13E+00,5.78E+00,6.55E+00
Olfr1228,Olfr1228,2.24E-01,?,6.37E-02,-1.57E+01,2.94E-01,4.61E+00
Olfr1231,Olfr1231,8.54E-01,?,6.07E-01,-1.65E+00,1.55E+00,2.56E+00
Olfr1233,Olfr1233,5.52E-01,?,3.94E-01,-2.54E+00,2.01E+00,5.11E+00
Olfr1234,Olfr1234,3.46E-01,?,1.12E-01,-8.96E+00,7.72E-01,6.92E+00
Olfr124,Olfr124,1.81E-01,?,1.54E+01,1.54E+01,2.75E+00,1.79E-01
Olfr1240,Olfr1240,2.04E-01,?,1.00E-01,-9.96E+00,1.29E+00,1.28E+01
Olfr1241,Olfr1241,2.20E-01,?,8.28E-02,-1.21E+01,5.01E-01,6.05E+00
Olfr1242,Olfr1242,3.40E-01,?,1.45E+01,1.45E+01,2.60E+00,1.79E-01
Olfr1243,Olfr1243,3.91E-01,?,1.70E-01,-5.88E+00,4.89E-01,2.87E+00
Olfr1247,Olfr1247,2.41E-01,?,2.17E-01,-4.62E+00,7.53E-01,3.47E+00
Olfr125,Olfr125,9.34E-02,?,2.28E+01,2.28E+01,4.08E+00,1.79E-01
Olfr1252,Olfr1252,2.47E-02,?,1.93E-02,-5.18E+01,1.78E-01,9.23E+00
Olfr1253,Olfr1253,5.20E-01,?,4.06E-01,-2.46E+00,2.03E+00,5.01E+00
Olfr1254,Olfr1254,4.33E-01,?,1.99E-01,-5.03E+00,1.03E+00,5.18E+00
Olfr1256,Olfr1256,2.80E-01,?,4.85E+00,4.85E+00,2.39E+00,4.93E-01
Olfr1259,Olfr1259,2.41E-01,?,1.11E+01,1.11E+01,1.99E+00,1.79E-01
Olfr1260,Olfr1260,2.78E-01,?,1.48E-01,-6.75E+00,9.86E-01,6.66E+00
Olfr1261,Olfr1261,4.42E-01,?,1.23E-01,-8.11E+00,5.05E-01,4.10E+00
Olfr1262,Olfr1262,2.90E-01,?,2.12E-01,-4.73E+00,1.80E+00,8.50E+00
Olfr1263,Olfr1263,7.92E-01,?,6.36E-01,-1.57E+00,1.77E+00,2.78E+00
Olfr1265,Olfr1265,4.21E-01,?,2.64E-01,-3.79E+00,1.21E+00,4.60E+00
Olfr1268-ps1,Olfr1268-ps1,9.13E-01,?,7.58E-01,-1.32E+00,7.73E-01,1.02E+00
Olfr1269,Olfr1269,1.89E-01,?,9.58E-02,-1.04E+01,2.94E-01,3.06E+00
Olfr127,Olfr127,3.18E-01,?,3.03E-01,-3.30E+00,4.34E+00,1.43E+01
Olfr1271,Olfr1271,2.56E-01,?,1.10E-01,-9.12E+00,5.00E-01,4.56E+00
Olfr1273-ps,Olfr1273-ps,4.43E-01,?,3.23E-01,-3.09E+00,2.47E+00,7.63E+00
Olfr1274,Olfr1274,9.40E-01,?,8.76E-01,-1.14E+00,4.94E+00,5.63E+00
Olfr1275,Olfr1275,7.26E-01,?,3.74E-01,-2.68E+00,1.03E+00,2.77E+00
Olfr1276,Olfr1276,8.25E-02,?,8.45E-02,-1.18E+01,4.94E-01,5.84E+00
Olfr1277,Olfr1277,3.66E-01,?,2.71E-01,-3.70E+00,1.52E+00,5.62E+00
Olfr1278,Olfr1278,6.32E-01,?,2.50E+00,2.50E+00,4.64E+00,1.85E+00
Olfr128,Olfr128,8.69E-01,?,8.12E-01,-1.23E+00,4.98E+00,6.13E+00
Olfr1280,Olfr1280,5.63E-01,?,2.42E+00,2.42E+00,1.17E+00,4.82E-01
Olfr1282,Olfr1282,3.14E-01,?,1.60E+01,1.60E+01,2.86E+00,1.79E-01
Olfr1283,Olfr1283,1.17E-01,?,1.04E-01,-9.58E+00,1.08E+00,1.04E+01
Olfr1286,Olfr1286,1.76E-01,?,1.44E-01,-6.94E+00,7.02E-01,4.87E+00
Olfr129,Olfr129,6.16E-01,?,2.12E+00,2.12E+00,1.99E+00,9.38E-01
Olfr1291-ps1,Olfr1291-ps1,5.42E-01,?,4.01E+00,4.01E+00,2.01E+00,5.02E-01
Olfr1295,Olfr1295,1.23E-01,?,1.70E+01,1.70E+01,3.04E+00,1.79E-01
Olfr1297,Olfr1297,4.43E-01,?,3.04E-01,-3.29E+00,2.01E+00,6.60E+00
Olfr130,Olfr130,8.23E-01,?,6.71E-01,-1.49E+00,1.03E+00,1.53E+00
Olfr1300-ps1,Olfr1300-ps1,1.14E-01,?,2.48E-02,-4.03E+01,1.78E-01,7.18E+00
Olfr1301,Olfr1301,2.84E-01,?,2.80E-01,-3.57E+00,1.52E+00,5.43E+00
Olfr1303,Olfr1303,2.33E-01,?,1.88E-01,-5.33E+00,4.93E-01,2.63E+00
Olfr1307,Olfr1307,4.56E-01,?,5.28E-01,-1.89E+00,8.38E+00,1.59E+01
Olfr1310,Olfr1310,3.01E-01,?,1.97E-01,-5.08E+00,1.21E+00,6.14E+00
Olfr1313,Olfr1313,1.45E-01,?,3.91E-02,-2.56E+01,1.78E-01,4.56E+00
Olfr1316,Olfr1316,5.28E-01,?,2.78E+00,2.78E+00,2.71E+00,9.73E-01
Olfr132,Olfr132,4.38E-01,?,8.69E+00,8.69E+00,1.55E+00,1.79E-01
Olfr1321,Olfr1321,7.00E-01,?,3.79E-01,-2.64E+00,1.55E+00,4.10E+00
Olfr1322,Olfr1322,8.75E-01,?,1.52E+00,1.52E+00,2.34E+00,1.53E+00
Olfr1323,Olfr1323,2.24E-01,?,1.26E-01,-7.95E+00,1.03E+00,8.14E+00
Olfr1324,Olfr1324,7.60E-01,?,5.94E-01,-1.68E+00,3.34E+00,5.63E+00
Olfr1325,Olfr1325,5.31E-01,?,3.13E-01,-3.19E+00,1.25E+00,3.99E+00
Olfr133,Olfr133,9.13E-01,?,1.24E+00,1.24E+00,3.81E+00,3.07E+00
Olfr1330,Olfr1330,1.17E-01,?,1.41E-01,-7.10E+00,1.49E+00,1.05E+01
Olfr1331,Olfr1331,3.76E-01,?,2.19E-01,-4.57E+00,1.01E+00,4.60E+00
Olfr1332-ps1,Olfr1332-ps1,3.63E-01,?,8.67E+00,8.67E+00,1.55E+00,1.79E-01
Olfr1333,Olfr1333,2.40E-02,?,2.62E-02,-3.82E+01,2.94E-01,1.12E+01
Olfr1335,Olfr1335,6.99E-01,?,4.08E-01,-2.45E+00,1.25E+00,3.07E+00
Olfr1336,Olfr1336,3.71E-01,?,3.06E-01,-3.27E+00,2.03E+00,6.65E+00
Olfr1338,Olfr1338,3.16E-01,?,2.71E-01,-3.70E+00,1.75E+00,6.45E+00
Olfr1339,Olfr1339,2.45E-01,?,8.35E-02,-1.20E+01,4.66E-01,5.58E+00
Olfr1340,Olfr1340,5.18E-01,?,3.00E-01,-3.33E+00,7.67E-01,2.55E+00
Olfr1341,Olfr1341,5.96E-01,?,2.87E-01,-3.49E+00,8.81E-01,3.07E+00
Olfr1346,Olfr1346,4.23E-01,?,1.82E-01,-5.48E+00,4.66E-01,2.56E+00
Olfr1349,Olfr1349,2.42E-01,?,3.29E+00,3.29E+00,4.85E+00,1.47E+00
Olfr1351,Olfr1351,5.93E-01,?,3.58E-01,-2.79E+00,1.78E-01,4.98E-01
Olfr1352,Olfr1352,5.18E-01,?,3.66E+00,3.66E+00,1.83E+00,5.00E-01
Olfr1353,Olfr1353,1.60E-01,?,5.31E-02,-1.88E+01,2.94E-01,5.53E+00
Olfr1354,Olfr1354,8.57E-01,?,6.66E-01,-1.50E+00,1.70E+00,2.56E+00
Olfr1356,Olfr1356,4.65E-01,?,7.05E+00,7.05E+00,3.38E+00,4.79E-01
Olfr1357,Olfr1357,6.84E-01,?,1.67E+00,1.67E+00,3.38E+00,2.03E+00
Olfr1359,Olfr1359,9.26E-01,?,8.11E-01,-1.23E+00,1.93E+00,2.37E+00
Olfr1360,Olfr1360,5.21E-01,?,4.32E+00,4.32E+00,2.98E+00,6.89E-01
Olfr1361,Olfr1361,3.47E-01,?,2.08E-01,-4.81E+00,9.58E-01,4.60E+00
Olfr1362,Olfr1362,3.63E-01,?,3.46E-01,-2.89E+00,2.53E+00,7.33E+00
Olfr1366,Olfr1366,6.91E-01,?,6.65E-01,-1.50E+00,5.77E+00,8.68E+00
Olfr1369-ps1,Olfr1369-ps1,8.75E-01,?,1.42E+00,1.42E+00,2.62E+00,1.85E+00
Olfr137,Olfr137,5.39E-01,?,4.05E+00,4.05E+00,2.03E+00,5.02E-01
Olfr1371,Olfr1371,2.02E-01,?,2.67E-02,-3.74E+01,1.78E-01,6.66E+00
Olfr1372-ps1,Olfr1372-ps1,8.53E-02,3.34E-01,1.79E+00,1.79E+00,7.99E+01,4.45E+01
Olfr1373,Olfr1373,3.79E-01,6.85E-01,1.84E+00,1.84E+00,1.34E+01,7.26E+00
Olfr1377,Olfr1377,5.16E-01,?,4.41E-01,-2.27E+00,1.98E+00,4.50E+00
Olfr1378,Olfr1378,1.97E-01,?,1.30E-01,-7.68E+00,6.75E-01,5.18E+00
Olfr1381,Olfr1381,9.20E-01,?,1.14E+00,1.14E+00,3.17E+00,2.78E+00
Olfr1382,Olfr1382,3.65E-01,?,1.39E-01,-7.21E+00,6.25E-01,4.51E+00
Olfr1383,Olfr1383,6.66E-01,?,4.28E-01,-2.34E+00,1.31E+00,3.07E+00
Olfr1384,Olfr1384,3.48E-01,?,1.80E-01,-5.56E+00,9.22E-01,5.13E+00
Olfr1385,Olfr1385,6.79E-01,?,5.12E-01,-1.95E+00,7.58E-01,1.48E+00
Olfr1387,Olfr1387,1.24E-01,?,1.37E-01,-7.29E+00,1.24E+00,9.06E+00
Olfr1388,Olfr1388,6.24E-01,?,1.44E+00,1.44E+00,6.37E+00,4.43E+00
Olfr1391,Olfr1391,5.44E-01,?,2.18E+00,2.18E+00,4.15E+00,1.91E+00
Olfr1392,Olfr1392,4.21E-01,?,5.17E-01,-1.94E+00,4.73E+00,9.15E+00
Olfr1393,Olfr1393,4.44E-01,?,5.34E-01,-1.87E+00,6.23E+00,1.17E+01
Olfr1395,Olfr1395,9.07E-02,?,1.03E-01,-9.67E+00,1.02E+00,9.84E+00
Olfr1396,Olfr1396,3.23E-01,6.37E-01,1.63E+00,1.63E+00,3.33E+01,2.05E+01
Olfr1397-ps1,Olfr1397-ps1,8.77E-03,9.14E-02,2.77E+00,2.77E+00,3.45E+01,1.24E+01
Olfr1398-ps1,Olfr1398-ps1,7.90E-01,?,1.95E+00,1.95E+00,1.81E+00,9.28E-01
Olfr140,Olfr140,3.24E-01,?,3.92E+00,3.92E+00,3.95E+00,1.01E+00
Olfr1402,Olfr1402,6.93E-01,?,4.93E-01,-2.03E+00,2.02E+00,4.09E+00
Olfr1406,Olfr1406,5.74E-01,?,3.45E+00,3.45E+00,1.73E+00,5.01E-01
Olfr1410,Olfr1410,6.37E-01,?,4.99E-01,-2.00E+00,3.32E+00,6.65E+00
Olfr1412,Olfr1412,3.42E-02,?,3.61E-02,-2.77E+01,2.94E-01,8.14E+00
Olfr1413,Olfr1413,2.15E-01,?,9.94E-02,-1.01E+01,4.99E-01,5.02E+00
Olfr1414,Olfr1414,4.47E-01,?,3.53E+00,3.53E+00,8.19E+00,2.32E+00
Olfr1415,Olfr1415,5.01E-01,?,3.10E-01,-3.23E+00,7.61E-01,2.46E+00
Olfr1416,Olfr1416,4.01E-01,?,3.50E-01,-2.85E+00,6.03E+00,1.72E+01
Olfr1417,Olfr1417,8.92E-01,9.62E-01,1.09E+00,1.09E+00,1.31E+01,1.19E+01
Olfr1418,Olfr1418,4.02E-01,?,3.29E+00,3.29E+00,4.07E+00,1.24E+00
Olfr1419,Olfr1419,5.72E-01,?,3.59E-01,-2.79E+00,1.65E+00,4.61E+00
Olfr142,Olfr142,7.27E-01,?,5.27E-01,-1.90E+00,1.03E+00,1.95E+00
Olfr1420,Olfr1420,3.79E-01,?,3.60E-01,-2.78E+00,3.29E+00,9.16E+00
Olfr1422-ps1,Olfr1422-ps1,4.62E-01,?,8.69E+00,8.69E+00,1.56E+00,1.79E-01
Olfr1423,Olfr1423,3.59E-02,?,1.55E-01,-6.43E+00,1.72E+00,1.11E+01
Olfr1425,Olfr1425,9.27E-01,?,1.23E+00,1.23E+00,2.28E+00,1.85E+00
Olfr1427,Olfr1427,4.55E-01,?,4.34E-01,-2.30E+00,3.02E+00,6.96E+00
Olfr1428,Olfr1428,8.09E-01,?,5.59E-01,-1.79E+00,1.29E+00,2.31E+00
Olfr143,Olfr143,9.44E-01,?,8.33E-01,-1.20E+00,7.73E-01,9.28E-01
Olfr1432,Olfr1432,7.48E-01,?,1.83E+00,1.83E+00,1.78E+00,9.73E-01
Olfr1438-ps1,Olfr1438-ps1,6.53E-01,?,4.94E-01,-2.02E+00,2.76E+00,5.60E+00
Olfr1440,Olfr1440,7.41E-01,?,6.65E-01,-1.50E+00,2.96E+00,4.45E+00
Olfr1441,Olfr1441,1.62E-01,?,1.34E-01,-7.47E+00,7.56E-01,5.65E+00
Olfr1442,Olfr1442,6.91E-01,?,4.20E-01,-2.38E+00,1.55E+00,3.69E+00
Olfr1444,Olfr1444,3.53E-01,?,8.01E+00,8.01E+00,1.43E+00,1.79E-01
Olfr1446,Olfr1446,2.26E-01,?,6.36E-02,-1.57E+01,2.94E-01,4.62E+00
Olfr1447,Olfr1447,1.26E-01,?,5.97E-02,-1.68E+01,2.94E-01,4.92E+00
Olfr145,Olfr145,2.48E-01,?,1.71E-01,-5.85E+00,1.40E+00,8.19E+00
Olfr1450,Olfr1450,7.55E-01,?,2.09E+00,2.09E+00,2.13E+00,1.02E+00
Olfr1459,Olfr1459,2.90E-01,?,3.47E-01,-2.88E+00,3.83E+00,1.10E+01
Olfr1462,Olfr1462,2.82E-01,?,8.25E+00,8.25E+00,4.12E+00,4.99E-01
Olfr1463,Olfr1463,1.89E-01,?,7.54E-02,-1.33E+01,2.94E-01,3.89E+00
Olfr1467,Olfr1467,1.90E-01,?,7.17E-02,-1.39E+01,2.94E-01,4.09E+00
Olfr1469,Olfr1469,3.45E-01,?,5.20E+00,5.20E+00,2.50E+00,4.81E-01
Olfr147,Olfr147,4.66E-01,?,2.84E+00,2.84E+00,6.97E+00,2.46E+00
Olfr1471,Olfr1471,5.11E-01,?,2.75E-01,-3.64E+00,1.03E+00,3.75E+00
Olfr1474,Olfr1474,7.65E-01,?,2.29E+00,2.29E+00,2.34E+00,1.02E+00
Olfr1475,Olfr1475,1.80E-01,?,2.48E-02,-4.03E+01,1.78E-01,7.18E+00
Olfr1477,Olfr1477,4.23E-01,?,1.99E-01,-5.03E+00,7.35E-01,3.70E+00
Olfr1489,Olfr1489,3.70E-01,?,3.54E-01,-2.83E+00,2.16E+00,6.12E+00
Olfr1490,Olfr1490,8.53E-01,?,1.33E+00,1.33E+00,2.53E+00,1.90E+00
Olfr1491,Olfr1491,1.68E-01,?,4.46E-02,-2.24E+01,1.78E-01,4.00E+00
Olfr1492-ps1,Olfr1492-ps1,5.94E-01,?,3.39E+00,3.39E+00,5.20E+00,1.53E+00
Olfr1493-ps1,Olfr1493-ps1,9.90E-01,?,9.75E-01,-1.03E+00,1.49E+00,1.53E+00
Olfr1494,Olfr1494,3.34E-01,?,9.56E-02,-1.05E+01,2.94E-01,3.07E+00
Olfr1496,Olfr1496,1.59E-02,?,2.81E-02,-3.56E+01,2.94E-01,1.05E+01
Olfr15,Olfr15,7.94E-01,9.24E-01,8.33E-01,-1.20E+00,1.01E+01,1.21E+01
Olfr1505,Olfr1505,4.18E-01,?,1.01E+01,1.01E+01,1.81E+00,1.79E-01
Olfr1507,Olfr1507,3.24E-01,?,4.04E-01,-2.47E+00,4.50E+00,1.11E+01
Olfr1508,Olfr1508,5.49E-01,?,4.45E-01,-2.25E+00,2.00E+00,4.50E+00
Olfr1509,Olfr1509,9.57E-01,?,9.15E-01,-1.09E+00,9.26E-01,1.01E+00
Olfr151,Olfr151,3.93E-01,?,5.92E+00,5.92E+00,2.96E+00,5.00E-01
Olfr1511,Olfr1511,9.24E-01,?,8.50E-01,-1.18E+00,2.75E+00,3.24E+00
Olfr1513,Olfr1513,8.77E-01,?,8.17E-01,-1.22E+00,2.01E+00,2.46E+00
Olfr1535,Olfr1535,1.16E-01,?,2.08E+01,2.08E+01,3.72E+00,1.79E-01
Olfr1537,Olfr1537,5.53E-01,?,3.81E-01,-2.62E+00,1.52E+00,3.99E+00
Olfr154,Olfr154,5.75E-01,?,4.30E-01,-2.33E+00,2.49E+00,5.78E+00
Olfr1564,Olfr1564,6.69E-01,8.65E-01,7.73E-01,-1.29E+00,9.62E+00,1.24E+01
Olfr1565,Olfr1565,3.59E-01,?,3.41E+00,3.41E+00,8.31E+00,2.44E+00
Olfr157,Olfr157,9.30E-01,?,8.73E-01,-1.15E+00,2.83E+00,3.24E+00
Olfr160,Olfr160,8.80E-01,?,8.01E-01,-1.25E+00,3.68E+00,4.60E+00
Olfr161,Olfr161,6.25E-01,?,4.96E-01,-2.02E+00,2.54E+00,5.11E+00
Olfr167,Olfr167,7.07E-01,?,1.46E+00,1.46E+00,4.26E+00,2.92E+00
Olfr169,Olfr169,5.67E-01,?,3.27E-01,-3.05E+00,1.09E+00,3.34E+00
Olfr17,Olfr17,5.75E-01,?,3.80E-01,-2.63E+00,1.94E+00,5.12E+00
Olfr170,Olfr170,8.04E-01,?,1.81E+00,1.81E+00,2.19E+00,1.21E+00
Olfr171,Olfr171,2.56E-01,?,8.20E+00,8.20E+00,1.47E+00,1.79E-01
Olfr172,Olfr172,3.24E-03,?,5.38E+01,5.38E+01,9.62E+00,1.79E-01
Olfr173,Olfr173,2.70E-02,?,1.64E+01,1.64E+01,7.92E+00,4.83E-01
Olfr175,Olfr175,1.64E-01,?,1.27E+01,1.27E+01,2.27E+00,1.79E-01
Olfr177,Olfr177,5.40E-01,?,2.17E+00,2.17E+00,2.18E+00,1.00E+00
Olfr178,Olfr178,6.21E-01,?,6.42E-01,-1.56E+00,4.94E+00,7.70E+00
Olfr181,Olfr181,7.44E-01,?,1.64E+00,1.64E+00,2.29E+00,1.40E+00
Olfr183,Olfr183,1.21E-01,?,2.71E-02,-3.68E+01,1.78E-01,6.56E+00
Olfr188-ps1,Olfr188-ps1,3.86E-01,?,2.70E-01,-3.70E+00,1.24E+00,4.60E+00
Olfr190,Olfr190,2.70E-01,?,2.03E-01,-4.93E+00,1.28E+00,6.30E+00
Olfr191,Olfr191,4.90E-01,?,2.67E-01,-3.74E+00,2.33E+00,8.71E+00
Olfr193,Olfr193,7.46E-01,?,1.44E+00,1.44E+00,4.99E+00,3.47E+00
Olfr194,Olfr194,9.16E-01,?,1.28E+00,1.28E+00,1.10E+00,8.62E-01
Olfr2,Olfr2,9.95E-01,?,1.01E+00,1.01E+00,1.55E+00,1.53E+00
Olfr202,Olfr202,3.27E-02,?,2.72E-02,-3.68E+01,1.78E-01,6.55E+00
Olfr203,Olfr203,8.45E-01,?,1.51E+00,1.51E+00,2.33E+00,1.55E+00
Olfr204,Olfr204,9.84E-01,?,9.66E-01,-1.04E+00,1.97E+00,2.04E+00
Olfr211,Olfr211,7.26E-01,?,1.85E+00,1.85E+00,3.61E+00,1.95E+00
Olfr215,Olfr215,7.76E-01,?,1.49E+00,1.49E+00,1.49E+00,1.01E+00
Olfr221,Olfr221,7.27E-01,8.93E-01,1.24E+00,1.24E+00,9.08E+00,7.32E+00
Olfr224,Olfr224,9.17E-01,?,8.09E-01,-1.24E+00,1.61E+00,1.99E+00
Olfr225,Olfr225,4.53E-01,?,4.92E+00,4.92E+00,2.46E+00,5.01E-01
Olfr229,Olfr229,3.97E-01,?,2.04E-01,-4.90E+00,1.55E+00,7.58E+00
Olfr231,Olfr231,4.34E-01,?,2.36E-01,-4.24E+00,1.03E+00,4.36E+00
Olfr237,Olfr237,1.21E-01,?,2.30E-01,-4.35E+00,1.87E+00,8.16E+00
Olfr239,Olfr239,3.22E-01,?,2.20E-01,-4.56E+00,6.43E-01,2.93E+00
Olfr243,Olfr243,3.77E-01,?,1.55E-01,-6.46E+00,5.01E-01,3.24E+00
Olfr251,Olfr251,2.86E-01,?,8.42E+00,8.42E+00,4.21E+00,5.00E-01
Olfr266,Olfr266,3.87E-01,?,3.76E+00,3.76E+00,3.79E+00,1.01E+00
Olfr267,Olfr267,8.48E-01,9.47E-01,9.08E-01,-1.10E+00,2.15E+01,2.37E+01
Olfr268-ps1,Olfr268-ps1,1.63E-01,?,4.72E-02,-2.12E+01,1.78E-01,3.77E+00
Olfr270,Olfr270,4.82E-01,?,3.62E+00,3.62E+00,1.80E+00,4.98E-01
Olfr271-ps1,Olfr271-ps1,1.79E-01,?,3.41E-02,-2.94E+01,1.78E-01,5.23E+00
Olfr272,Olfr272,6.15E-01,?,3.45E-01,-2.90E+00,1.43E+00,4.16E+00
Olfr273,Olfr273,9.48E-01,?,9.10E-01,-1.10E+00,1.85E+00,2.03E+00
Olfr275,Olfr275,5.69E-01,?,3.08E-01,-3.25E+00,1.57E+00,5.12E+00
Olfr279,Olfr279,2.07E-01,?,2.20E-01,-4.55E+00,3.32E+00,1.51E+01
Olfr281,Olfr281,6.04E-01,?,5.22E-01,-1.92E+00,3.43E+00,6.57E+00
Olfr282,Olfr282,3.92E-01,?,8.79E+00,8.79E+00,1.57E+00,1.79E-01
Olfr283,Olfr283,3.78E-01,?,3.42E-01,-2.93E+00,3.27E+00,9.57E+00
Olfr285,Olfr285,6.66E-01,?,4.24E-01,-2.36E+00,1.20E+00,2.82E+00
Olfr286,Olfr286,9.03E-01,?,8.45E-01,-1.18E+00,5.29E+00,6.27E+00
Olfr287,Olfr287,4.15E-01,?,3.10E-01,-3.23E+00,1.57E+00,5.08E+00
Olfr291,Olfr291,8.95E-01,?,7.86E-01,-1.27E+00,7.33E-01,9.34E-01
Olfr292,Olfr292,8.69E-01,?,1.37E+00,1.37E+00,1.28E+00,9.32E-01
Olfr295,Olfr295,1.97E-01,?,7.87E-02,-1.27E+01,4.88E-01,6.20E+00
Olfr30,Olfr30,9.95E-01,?,9.89E-01,-1.01E+00,1.00E+00,1.01E+00
Olfr303,Olfr303,2.61E-01,?,1.01E-01,-9.95E+00,2.94E-01,2.92E+00
Olfr307,Olfr307,6.75E-01,?,4.94E-01,-2.02E+00,2.97E+00,6.00E+00
Olfr308,Olfr308,8.56E-01,?,1.52E+00,1.52E+00,2.33E+00,1.53E+00
Olfr31,Olfr31,9.67E-01,9.89E-01,1.04E+00,1.04E+00,1.20E+01,1.15E+01
Olfr311,Olfr311,1.17E-01,?,8.15E-02,-1.23E+01,4.96E-01,6.09E+00
Olfr313,Olfr313,2.24E-01,?,2.94E-01,-3.40E+00,4.01E+00,1.36E+01
Olfr316,Olfr316,5.77E-01,?,3.15E-01,-3.18E+00,7.73E-01,2.46E+00
Olfr317,Olfr317,2.73E-01,?,1.56E-01,-6.42E+00,7.65E-01,4.91E+00
Olfr318,Olfr318,2.92E-01,?,1.82E-01,-5.50E+00,1.54E+00,8.46E+00
Olfr319,Olfr319,9.52E-01,?,1.18E+00,1.18E+00,1.82E+00,1.53E+00
Olfr322,Olfr322,4.66E-01,?,2.28E-01,-4.39E+00,7.35E-01,3.23E+00
Olfr323,Olfr323,7.23E-01,?,1.98E+00,1.98E+00,1.93E+00,9.73E-01
Olfr325,Olfr325,8.37E-01,?,5.91E-01,-1.69E+00,1.82E+00,3.07E+00
Olfr328,Olfr328,8.82E-01,?,1.27E+00,1.27E+00,3.62E+00,2.85E+00
Olfr329,Olfr329,3.27E-01,?,1.34E-01,-7.48E+00,4.79E-01,3.58E+00
Olfr33,Olfr33,3.29E-01,?,3.10E-01,-3.22E+00,4.13E+00,1.33E+01
Olfr330,Olfr330,1.27E-01,?,4.27E-02,-2.34E+01,2.94E-01,6.88E+00
Olfr332,Olfr332,8.49E-01,?,7.83E-01,-1.28E+00,2.36E+00,3.01E+00
Olfr335-ps,Olfr335-ps,1.08E-01,?,2.69E-02,-3.71E+01,1.78E-01,6.61E+00
Olfr337-ps1,Olfr337-ps1,9.02E-01,?,7.68E-01,-1.30E+00,1.18E+00,1.53E+00
Olfr338,Olfr338,1.51E-01,?,8.83E-02,-1.13E+01,4.97E-01,5.63E+00
Olfr344,Olfr344,2.78E-01,?,9.10E-02,-1.10E+01,4.66E-01,5.12E+00
Olfr347,Olfr347,9.62E-01,?,1.07E+00,1.07E+00,3.27E+00,3.06E+00
Olfr353,Olfr353,7.84E-01,?,1.97E+00,1.97E+00,1.83E+00,9.28E-01
Olfr354,Olfr354,9.16E-01,?,1.19E+00,1.19E+00,3.36E+00,2.83E+00
Olfr355,Olfr355,4.87E-01,?,1.94E-01,-5.16E+00,6.94E-01,3.58E+00
Olfr357,Olfr357,6.69E-01,?,5.36E-01,-1.86E+00,3.68E+00,6.87E+00
Olfr362,Olfr362,4.78E-03,?,1.69E-02,-5.90E+01,1.78E-01,1.05E+01
Olfr364-ps1,Olfr364-ps1,5.17E-01,?,3.34E+00,3.34E+00,5.18E+00,1.55E+00
Olfr365,Olfr365,4.32E-01,?,3.73E-01,-2.68E+00,1.88E+00,5.04E+00
Olfr366,Olfr366,1.40E-01,?,1.07E-01,-9.37E+00,7.33E-01,6.87E+00
Olfr368,Olfr368,5.61E-01,?,3.97E-01,-2.52E+00,1.01E+00,2.55E+00
Olfr369-ps1,Olfr369-ps1,2.95E-01,?,1.04E+01,1.04E+01,5.19E+00,5.02E-01
Olfr370,Olfr370,8.60E-02,?,1.39E-01,-7.19E+00,3.55E+00,2.55E+01
Olfr371,Olfr371,6.52E-01,?,1.84E+00,1.84E+00,1.73E+00,9.41E-01
Olfr372,Olfr372,2.07E-01,?,1.82E+01,1.82E+01,3.25E+00,1.79E-01
Olfr373,Olfr373,9.23E-01,?,8.87E-01,-1.13E+00,2.25E+00,2.54E+00
Olfr374,Olfr374,7.17E-01,?,1.31E+00,1.31E+00,1.12E+01,8.56E+00
Olfr376,Olfr376,9.37E-01,?,1.18E+00,1.18E+00,1.80E+00,1.53E+00
Olfr38,Olfr38,6.18E-01,?,4.45E-01,-2.25E+00,9.89E-01,2.22E+00
Olfr384,Olfr384,5.94E-02,?,4.63E-02,-2.16E+01,1.78E-01,3.85E+00
Olfr388-ps1,Olfr388-ps1,9.85E-01,?,1.04E+00,1.04E+00,1.59E+00,1.53E+00
Olfr39,Olfr39,9.24E-01,?,8.18E-01,-1.22E+00,1.25E+00,1.53E+00
Olfr392,Olfr392,8.27E-01,?,6.57E-01,-1.52E+00,1.82E+00,2.78E+00
Olfr393,Olfr393,9.79E-02,?,4.85E-02,-2.06E+01,2.94E-01,6.05E+00
Olfr394,Olfr394,3.81E-01,?,6.31E+00,6.31E+00,3.03E+00,4.80E-01
Olfr395,Olfr395,1.18E-01,?,1.01E-01,-9.93E+00,7.01E-01,6.96E+00
Olfr396-ps1,Olfr396-ps1,6.45E-01,?,3.69E-01,-2.71E+00,1.51E+00,4.10E+00
Olfr397,Olfr397,2.95E-01,?,1.30E+01,1.30E+01,2.33E+00,1.79E-01
Olfr398,Olfr398,6.04E-01,?,4.10E-01,-2.44E+00,2.59E+00,6.30E+00
Olfr399,Olfr399,3.21E-01,?,1.33E-01,-7.51E+00,4.77E-01,3.58E+00
Olfr400-ps1,Olfr400-ps1,7.54E-01,?,5.70E-01,-1.76E+00,1.45E+00,2.55E+00
Olfr401,Olfr401,1.39E-02,?,2.13E-02,-4.69E+01,1.78E-01,8.35E+00
